Condition,Participant
selfexplain,jasminejunyu.li
pseudo,frankd.fu
baseline,ellen.ge
leadReveal,brian.balev
parsons,jackfq.li
baseline,n.choy
pseudo,maria.burcea
selfexplain,sumaid.lakho
selfexplain,j.hao
baseline,rach.deng
leadReveal,jeha.park
leadReveal,claire.jaroonjetjumnong
pseudo,s.obra
baseline,hanzi.zhang
pseudo,shruti.kaushish
verify,carter.hugill
verify,alina.tiemiertiei
verify,baris.bayazit
writeover,ysajelleyiru.lim
writeover,shayan.dsouza
baseline,abiha.gondal
writeover,maira.masroor
stepByStep,l.brasil
leadReveal,jacki.liang
parsons,rithvik.sunil
verify,t.tanemura
stepByStep,yian.chu
baseline,lilyy.phan
selfexplain,jasonsc.so
writeover,aaina.garg
baseline,carlos.solares
parsons,cxy.zhang
parsons,srika.ponnavolu
pseudo,cristian.solomon
stepByStep,kevin.pogoryelovskyy
pseudo,omid.hemmati
pseudo,xinlei.lin
leadReveal,denis.rivard
stepByStep,yoyoyimeng.liu
verify,ray.lou
verify,kush.gandhi
writeover,gra.zeng
leadReveal,hantian.chen
stepByStep,richardyc.wang
baseline,rolland.he
leadReveal,janice.qin
selfexplain,chong.wan
stepByStep,christinee.liu
parsons,xiran.yin
writeover,ziyi.ye
selfexplain,ashish.ajinthomas
selfexplain,adya.gopaul
pseudo,zachary.rodger
parsons,huy.dang
writeover,emma.tran
parsons,alexz.lewis
stepByStep,nathannanxin.li
selfexplain,tanush.arora
baseline,yiruyiru.wang
pseudo,kristopher.zhao
baseline,elevenyi.pan
verify,jerry.zeng
writeover,lilinhao.li
writeover,yizhi.huang
leadReveal,elizabeth.huang
parsons,shyam.uppal
verify,kennie.yamb
baseline,anthony.shan
selfexplain,za.malik
parsons,leilia.ho
stepByStep,elowenyiwei.jiang
verify,mac.pattanasuttinont
pseudo,pouria.vaseghi
leadReveal,river.qi
stepByStep,sudharshan.palaniyappan
selfexplain,aditi.gupta
leadReveal,haochengdan.xu
parsons,cable.xie
verify,madhav.gupta
stepByStep,arya.sethi
baseline,tasfia.ara
baseline,jai.joshi
